Variety,Loc,Week,SiteWeek,Harvestdate,Yield,Avg_cluster,50_berry,Avg_berry,Brix,pH,TA
LaCrescent,CF,1,1,9/16/2019,10.17,137.83,73.62,1.47,18.4,2.94,17.02
LaCrescent,HRC,1,1,9/16/2019,12.777,126.17,67.22,1.34,21,2.86,17.82
Marquette,HRC,1,1,9/16/2019,12.125,74,66.71,1.33,21.3,2.82,15
Marquette,CF,1,1,9/16/2019,11.547,109.67,67.76,1.35,21.2,2.85,12.79
LaCrescent,HRC,2,2,9/23/2019,10.576,97.5,74.91,1.498,21.8,2.97,14.43
Marquette,HRC,2,2,9/23/2019,10.644,46.83,62.86,1.26,22.9,3.16,12.6
LaCrescent,CF,2,2,9/23/2019,9.246,82,77.41,1.55,20,3.05,16.07
Marquette,CF,2,2,9/23/2019,9.776,82,78.22,1.56,24.5,3.11,10.38
FrontenacGris,HRC,2,1,9/23/2019,10.998,117.33,58.52,1.17,23.9,2.93,14.44
Brianna,HRC,2,1,9/24/2019,10.116,78.83,119.96,2.4,20.7,3.17,6.58
Brianna,ASH,2,1,9/23/2019,12.33,100.5,123.77,2.5,20.8,3.18,7.9
Brianna,FERT,2,1,9/23/2019,10.251,115.83,107.28,2.15,16.4,3.11,8.13
FrontenacGris,BIS,2,1,9/23/2019,12.535,75.83,52.87,1.06,20,2.79,15.39
Marquette,BIS,2,1,9/23/2019,8.741,48.33,53.6,1.07,21.5,2.89,14.48
Marquette,FERT,2,1,9/23/2019,9.901,80.83,54.66,1.09,19.4,2.9,13.33
Marquette,ASH,2,1,9/23/2019,10.819,90,64.23,1.29,25.2,2.82,12.67
LaCrescent,CF,3,3,9/30/2019,9.718,90.17,76.89,1.538,21,2.96,12.45
Marquette,CF,3,3,9/30/2019,8.728,61.1,66.15,1.323,23,3.06,10.48
LaCrescent,HRC,3,3,9/30/2019,9.689,112,76.79,1.536,21.7,2.89,13.14
Marquette,HRC,3,3,9/30/2019,11.386,53.33,67.03,1.34,23.5,2.94,11.97
FrontenacGris,HRC,3,2,9/30/2019,12.403,185,61.8,1.24,25.6,2.9,13.11
Brianna,FERT,3,2,9/30/2019,9.415,145,122.62,2.45,18.9,3.2,7.33
Brianna,ASH,3,2,9/30/2019,7.947,89.67,113.81,2.28,21.2,3.23,8.31
Marquette,BUF,3,1,9/30/2019,12.202,72.83,68.33,1.37,21.3,2.92,13.81
Marquette,ASH,3,2,9/30/2019,9.113,126.33,67.94,1.36,24.7,2.83,13.6
Marquette,FERT,3,2,9/30/2019,11.326,49.33,48.37,0.967,18.6,2.97,13.2
Brianna,FERT,4,3,10/7/2019,11.596,112.83,127.21,2.54,18.7,3.23,8.09
Marquette,FERT,4,3,10/7/2019,9.677,61,49.96,0.99,20.3,2.98,13.69
Marquette,BUF,4,2,10/7/2019,13.04,74.83,60.36,1.21,19.4,2.95,13.54
